"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"CLGNKPIJ","journalArticle","2020","Narváez, Pedro; Percybrooks, Winston S.","Synthesis of Normal Heart Sounds Using Generative Adversarial Networks and Empirical Wavelet Transform","Applied Sciences","","2076-3417","10.3390/app10197003","https://www.mdpi.com/2076-3417/10/19/7003","Currently, there are many works in the literature focused on the analysis of heart sounds, speciﬁcally on the development of intelligent systems for the classiﬁcation of normal and abnormal heart sounds. However, the available heart sound databases are not yet large enough to train generalized machine learning models. Therefore, there is interest in the development of algorithms capable of generating heart sounds that could augment current databases. In this article, we propose a model based on generative adversary networks (GANs) to generate normal synthetic heart sounds. Additionally, a denoising algorithm is implemented using the empirical wavelet transform (EWT), allowing a decrease in the number of epochs and the computational cost that the GAN model requires. A distortion metric (mel–cepstral distortion) was used to objectively assess the quality of synthetic heart sounds. The proposed method was favorably compared with a mathematical model that is based on the morphology of the phonocardiography (PCG) signal published as the state of the art. Additionally, diﬀerent heart sound classiﬁcation models proposed as state-of-the-art were also used to test the performance of such models when the GAN-generated synthetic signals were used as test dataset. In this experiment, good accuracy results were obtained with most of the implemented models, suggesting that the GAN-generated sounds correctly capture the characteristics of natural heart sounds.","2020-10-08","2025-09-22 10:05:03","2025-09-22 10:05:04","2025-09-22 10:05:03","7003","","19","10","","Applied Sciences","","","","","","","","en","https://creativecommons.org/licenses/by/4.0/","","","","DOI.org (Crossref)","","","","C:\Users\alyssa\Zotero\storage\J6CFPY56\Narváez和Percybrooks - 2020 - Synthesis of Normal Heart Sounds Using Generative Adversarial Networks and Empirical Wavelet Transfo.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R7JAHFY6","conferencePaper","2024","Wang, Zhongyu; Ma, Caiyun; Zhao, Minghui; Zhang, Shuo; Li, Jianqing; Liu, Chengyu","ECG Generation Based on Denoising Diffusion Probabilistic Models","","","","10.22489/CinC.2024.027","https://www.cinc.org/archives/2024/pdf/CinC2024-027.pdf","Arrhythmia diseases seriously damage people’s life and health, and identifying abnormal points in ECG signals by deep neural networks is an effective method for detecting arrhythmias. However, their accuracy is often limited by the biased data distribution of the training set, and a large number of labeled ECG signals are usually harder to obtain. Therefore, this paper proposes to synthesize virtual heart beat data by denoising diffusion probability model (DDPM) based on the MIT-BIH arrhythmia database to complement the real data. Three different methods for generating heartbeat signals are also used, which are (i) generating heartbeat signals directly, (ii) generating time-frequency maps of heartbeats and transforming them into heartbeat signals, and (iii) generating sub-signals of heartbeats and fusing them into complete heartbeat signals. Regarding the evaluation of the synthesized signals, we compare the advantages and disadvantages of the three heartbeat generation methods by four metrics: DTW, PCC, ED and KLD. The experimental results showed that the optimum values of 4.37, 17.09, 0.972 and 0.0094 were obtained for ED, DTW of method (i) and PCC, KLD of method (iii), respectively.","2024-12-01","2025-09-22 10:05:06","2025-09-22 10:05:06","2025-09-22 10:05:06","","","","","","","","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\alyssa\Zotero\storage\JZPFTQVT\Wang 等 - 2024 - ECG Generation Based on Denoising Diffusion Probabilistic Models.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024 Computing in Cardiology Conference","","","","","","","","","","","","","","",""
"WBP9IWFM","journalArticle","2000","Goldberger, Ary L.; Amaral, Luis A. N.; Glass, Leon; Hausdorff, Jeffrey M.; Ivanov, Plamen Ch.; Mark, Roger G.; Mietus, Joseph E.; Moody, George B.; Peng, Chung-Kang; Stanley, H. Eugene","PhysioBank, PhysioToolkit, and PhysioNet: Components of a New Research Resource for Complex Physiologic Signals","Circulation","","0009-7322, 1524-4539","10.1161/01.CIR.101.23.e215","https://www.ahajournals.org/doi/10.1161/01.CIR.101.23.e215","Abstract               —The newly inaugurated Research Resource for Complex Physiologic Signals, which was created under the auspices of the National Center for Research Resources of the National Institutes of Health, is intended to stimulate current research and new investigations in the study of cardiovascular and other complex biomedical signals. The resource has 3 interdependent components. PhysioBank is a large and growing archive of well-characterized digital recordings of physiological signals and related data for use by the biomedical research community. It currently includes databases of multiparameter cardiopulmonary, neural, and other biomedical signals from healthy subjects and from patients with a variety of conditions with major public health implications, including life-threatening arrhythmias, congestive heart failure, sleep apnea, neurological disorders, and aging. PhysioToolkit is a library of open-source software for physiological signal processing and analysis, the detection of physiologically significant events using both classic techniques and novel methods based on statistical physics and nonlinear dynamics, the interactive display and characterization of signals, the creation of new databases, the simulation of physiological and other signals, the quantitative evaluation and comparison of analysis methods, and the analysis of nonstationary processes. PhysioNet is an on-line forum for the dissemination and exchange of recorded biomedical signals and open-source software for analyzing them. It provides facilities for the cooperative analysis of data and the evaluation of proposed new algorithms. In addition to providing free electronic access to PhysioBank data and PhysioToolkit software via the World Wide Web (http://www.physionet.org), PhysioNet offers services and training via on-line tutorials to assist users with varying levels of expertise.","2000-06-13","2025-09-25 07:37:09","2025-09-25 07:37:09","2025-09-25 07:37:09","","","23","101","","Circulation","PhysioBank, PhysioToolkit, and PhysioNet","","","","","","","en","","","","","DOI.org (Crossref)","","","","C:\Users\alyssa\Zotero\storage\55JPTV84\Goldberger 等 - 2000 - PhysioBank, PhysioToolkit, and PhysioNet Components of a New Research Resource for Complex Physiolo.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UPL26UPV","preprint","2025","Sondermann, Martin; Bisgin, Pinar; Tschorn, Niklas; Burmann, Anja; Friedrich, Christoph M.","Comparative Analysis of CNN and Transformer Architectures with Heart Cycle Normalization for Automated Phonocardiogram Classification","","","","10.48550/arXiv.2507.07058","http://arxiv.org/abs/2507.07058","The automated classification of phonocardiogram (PCG) recordings represents a substantial advancement in cardiovascular diagnostics. This paper presents a systematic comparison of four distinct models for heart murmur detection: two specialized convolutional neural networks (CNNs) and two zero-shot universal audio transformers (BEATs), evaluated using fixed-length and heart cycle normalization approaches. Utilizing the PhysioNet2022 dataset, a custom heart cycle normalization method tailored to individual cardiac rhythms is introduced. The findings indicate the following AUROC values: the CNN model with fixed-length windowing achieves 79.5%, the CNN model with heart cycle normalization scores 75.4%, the BEATs transformer with fixed-length windowing achieves 65.7%, and the BEATs transformer with heart cycle normalization results in 70.1%. The findings indicate that physiological signal constraints, especially those introduced by different normalization strategies, have a substantial impact on model performance. The research provides evidence-based guidelines for architecture selection in clinical settings, emphasizing the need for a balance between accuracy and computational efficiency. Although specialized CNNs demonstrate superior performance overall, the zero-shot transformer models may offer promising efficiency advantages during development, such as faster training and evaluation cycles, despite their lower classification accuracy. These findings highlight the potential of automated classification systems to enhance cardiac diagnostics and improve patient care.","2025-07-08","2025-09-25 07:48:30","2025-09-25 07:48:30","2025-09-25 07:48:30","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2507.07058 [cs]","","C:\Users\alyssa\Zotero\storage\XCMD5X9E\Sondermann 等 - 2025 - Comparative Analysis of CNN and Transformer Architectures with Heart Cycle Normalization for Automat.pdf","","","Computer Science - Machine Learning; Computer Science - Artificial Intelligence; Computer Science - Sound; Electrical Engineering and Systems Science - Audio and Speech Processing","","","","","","","","","","","","","","","","","","","arXiv:2507.07058","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BX8G68KQ","journalArticle","2024","Hamza, Motaz Faroq A. Ben; Sjarif, Nilam Nur Amir","A Comprehensive Overview of Heart Sound Analysis Using Machine Learning Methods","IEEE Access","","2169-3536","10.1109/ACCESS.2024.3432309","https://ieeexplore.ieee.org/abstract/document/10606233","Cardiovascular diseases (CVDs) are a prevalent cause of mortality worldwide, and the traditional cardiovascular disease diagnosis has relied heavily on stethoscope-based heart sound auscultations. Hence, the development of medical systems has led to several machine learning (ML)-related studies for analysing heart sounds using phonocardiograms (PCGs). Although this process enables the detection of additional mechanical activity information about the heart muscle, various crucial gaps (background noise, unbalanced datasets, and irrelevant extracted features) are still observed. Therefore, this review examined the advancements in diagnosing heart sounds using ML-based PCG signal analysis. The evaluation process involved three datasets in the past five years (2019–2024): the PhysioNet/Computing in Cardiology (CinC) Challenge (2016–2022) and the Yaseen Khan 2018 datasets. This review also comprehensively explained the importance of heart sounds in cardiovascular disease diagnosis. Moreover, these studies demonstrated an overview of the most effective methods in handling datasets, pre-processing of PCG signals (filtering, segmentation, and normalisation), PCG signal processing techniques (feature extraction and feature selection), and machine learning models (classification). Several directions concerning heart sound diagnosis for future studies are then presented, which can serve as a reference point for diagnosing cardiovascular diseases.","2024","2025-09-25 08:17:53","2025-09-25 08:17:53","2025-09-25 08:17:53","117203-117217","","","12","","","","","","","","","","","","","","","IEEE Xplore","","","","C:\Users\alyssa\Zotero\storage\UPBWSUQU\Hamza和Sjarif - 2024 - A Comprehensive Overview of Heart Sound Analysis Using Machine Learning Methods.pdf","","","Accuracy; Machine learning; Cardiovascular diseases; Classification algorithms; Electrocardiography; Feature extraction; Heart beat; heart sound classification; machine learning; phonocardiogram; Phonocardiography; Reviews; signal processing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IZB6XZRC","conferencePaper","2025","Jamshidi, Ainaz; Arif, Muhammad; Kalhoro, Sabir Ali; Gelbukh, Alexander","Synthetic Time Series Data Generation for Healthcare Applications: A PCG Case Study","2025 59th Annual Conference on Information Sciences and Systems (CISS)","","","10.1109/CISS64860.2025.10944755","https://ieeexplore.ieee.org/document/10944755","The generation of high-quality medical time series data is essential for advancing healthcare diagnostics and safeguarding patient privacy. Specifically, synthesizing realistic phonocardiogram (PCG) signals offers significant potential as a cost-effective and efficient tool for cardiac disease pre-screening. Despite its potential, the synthesis of PCG signals for this specific application received limited attention in research. In this study, we employ and compare three state-of-the-art generative models from different categories — WaveNet, DoppelGANger, and DiffWave — to generate high-quality PCG data. We use data from the George B. Moody PhysioNet Challenge 2022. Our methods are evaluated using various metrics widely used in the previous literature in the domain of time series data generation, such as mean absolute error and maximum mean discrepancy. Our results demonstrate that the generated PCG data closely resembles the original datasets, indicating the effectiveness of our generative models in producing realistic synthetic PCG data. In our future work, we plan to incorporate this method into a data augmentation pipeline to synthesize abnormal PCG signals with heart murmurs, in order to address the current scarcity of abnormal data. We hope to improve the robustness and accuracy of diagnostic tools in cardiology, enhancing their effectiveness in detecting heart murmurs.","2025-03","2025-09-25 10:53:29","2025-09-25 10:53:29","2025-09-25 10:53:29","1-6","","","","","","Synthetic Time Series Data Generation for Healthcare Applications","","","","","","","","","","","","IEEE Xplore","","ISSN: 2837-178X","","C:\Users\alyssa\Zotero\storage\LYTDLGRU\Jamshidi 等 - 2025 - Synthetic Time Series Data Generation for Healthcare Applications A PCG Case Study.pdf","","","Data collection; Data models; Measurement; Phonocardiography; Forecasting; Heart; Medical services; Pipelines; Robustness; Time series analysis","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2025 59th Annual Conference on Information Sciences and Systems (CISS)","","","","","","","","","","","","","","",""
"T55ZK2Y7","conferencePaper","2024","Spongano, Lorenzo; De Fazio, Roberto; De Vittorio, Massimo; Patrono, Luigi; Visconti, Paolo","PCG Signal Acquisition and Classification for Heart Failure Detection: Recent Advances and Implementation of Memory-Efficient Classifiers for Edge Computing-Based Wearable Devices","2024 9th International Conference on Smart and Sustainable Technologies (SpliTech)","","","10.23919/SpliTech61897.2024.10612597","https://ieeexplore.ieee.org/document/10612597","Conventional diagnostic tools for cardiovascular diseases usually employ expensive instrumentation and require specialized medical staff. An inexpensive and non-invasive alternative is the phonocardiogram (PCG). This paper presents the development of classifiers for binary (Normal/Pathological) and multiclass classifications of PCG signals. The latter discerns between a subset of heart diseases (mitral valve prolapse (MVP), coronary disease (CAD), and benign murmurs (Benign)). Two balanced datasets were created from the Physionet 2016/CinC database, consisting of 10104 and 13136 5-s frames. A custom preprocessing chain includes denoising, normalizing, and splitting the PCG signals, making them suitable to extract the scalar features set, constituting the training and test set. Several ML/DL models (e.g., SVMs (Support Vector Machines), k-NNs (k-Nearest Neighbors), and NNs (Neural Networks)) were trained and tested to classify the PCG signals. For binary classification, three different NNs have reached 96.0%, 95.9%, and 93.4% accuracy, and 95.9%, 96.0%, and 93.3% F1-scores, respectively. However, k-NN classifiers provide higher accuracy (up to 98.7%) than NNs but require much larger memory (up to 11 MB). As for the multiclass classification, three custom NNs have achieved 96.0%, 95.8%, and 94.7% accuracy with 735 kB max memory occupation. The developed classifiers provide a good balance between complexity and performance, with the latter not dependent on signal quality. In the feature engineering phase, the heart sound segmentation was not performed to make the classifiers suitable for resource-limited platforms.","2024-06","2025-09-29 17:43:23","2025-09-29 17:43:23","2025-09-29 17:43:23","1-6","","","","","","PCG Signal Acquisition and Classification for Heart Failure Detection","","","","","","","","","","","","IEEE Xplore","","","","C:\Users\alyssa\Zotero\storage\L2Z3XCSQ\Spongano 等 - 2024 - PCG Signal Acquisition and Classification for Heart Failure Detection Recent Advances and Implement.pdf","","","Accuracy; Machine learning; Artificial neural networks; Binary and multiclass classifier; Heart failure detection; Noise reduction; PCG sensor; PCG signal classification; Performance evaluation; Phonocardiogram; Solid modeling; Support vector machines; Training","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2024 9th International Conference on Smart and Sustainable Technologies (SpliTech)","","","","","","","","","","","","","","",""
"7JBGDKRF","journalArticle","2024","Ren, Zhao; Chang, Yi; Nguyen, Thanh Tam; Tan, Yang; Qian, Kun; Schuller, Björn W.","A Comprehensive Survey on Heart Sound Analysis in the Deep Learning Era","IEEE Computational Intelligence Magazine","","1556-6048","10.1109/MCI.2024.3401309","https://ieeexplore.ieee.org/document/10595492","Heart sound auscultation has been applied in clinical usage for early screening of cardiovascular diseases. Due to the high demand for auscultation expertise, automatic auscultation can help with auxiliary diagnosis and reduce the burden of training professional clinicians. Nevertheless, there is a limit to classic machine learning’s performance improvement in the era of Big Data. Deep learning has outperformed classic machine learning in many research fields, as it employs more complex model architectures with a stronger capability of extracting effective representations. Moreover, it has been successfully applied to heart sound analysis in the past years. As most review works about heart sound analysis were carried out before 2017, the present survey is the first to work on a comprehensive overview to summarise papers on heart sound analysis with deep learning published in 2017–2022. This work introduces both classic machine learning and deep learning for comparison, and further offer insights about the advances and future research directions in deep learning for heart sound analysis.","2024-08","2025-10-01 21:47:01","2025-10-01 21:47:01","2025-10-01 21:47:01","42-57","","3","19","","","","","","","","","","","","","","","IEEE Xplore","","","","C:\Users\alyssa\Zotero\storage\2AGFSZRB\Ren 等 - 2024 - A Comprehensive Survey on Heart Sound Analysis in the Deep Learning Era.pdf","","","Deep learning; Machine learning; Measurement; Cardiovascular diseases; Heart beat; Big Data; Databases; Heart rate measurement; Surveys; Training data","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6J5WS7DJ","journalArticle","2025","Chakraborty, Shaunak; Kochhar, Prishita; Patil, Shruti; Kotecha, Ketan; Gite, Shilpa; Selvachandran, Ganeshsree; Das, Swagatam","Generative adversarial network augmented data for improved heart sound abnormality detection","Computers in Biology and Medicine","","0010-4825","10.1016/j.compbiomed.2025.110623","https://www.sciencedirect.com/science/article/pii/S0010482525009746","The PhysioNet/Computing in Cardiology (CinC) Challenge 2016 dataset has driven significant advancements in automated heart sound analysis using machine learning (ML) and deep learning (DL). However, these efforts are constrained by the dataset's limited size and severe class imbalance, particularly the underrepresentation of coronary artery disease (CAD) cases. This study addresses these limitations by employing generative adversarial networks (GANs) to synthesize realistic CAD-like heart sound segments, augmenting existing datasets to improve classification performance. A Progressive Wasserstein GAN architecture was implemented to generate high-quality audio segments that accurately capture CAD heart sounds' spectral and temporal characteristics. The quality of synthetic audio was assessed using the Fréchet Audio Distance (FAD), achieving scores of 1.43 and 2.23 when compared to reference CAD and healthy samples, respectively. Novel post-processing steps, including bandpass filtering, further enhanced the fidelity of the synthetic samples. By augmenting the imbalanced heart sound dataset with these samples, we observed substantial improvements in the performance of five classification models. The GAN-augmented training set outperformed traditional augmentation and cost-sensitive learning methods, demonstrating superior sensitivity, specificity, and precision. This study highlights the potential of GAN-based data augmentation to address critical challenges in medical audio datasets. It offers a scalable and cost-effective solution for improving the generalizability and robustness of heart sound classification models, paving the way for enhanced diagnostic tools in biomedical signal processing.","2025-09-01","2025-10-02 12:59:07","2025-10-02 12:59:07","2025-10-02 12:59:07","110623","","","195","","Computers in Biology and Medicine","","","","","","","","","","","","","ScienceDirect","","","","C:\Users\alyssa\Zotero\storage\5THC4XCU\Chakraborty 等 - 2025 - Generative adversarial network augmented data for improved heart sound abnormality detection.pdf","","","Generative adversarial networks; Biomedical signal processing; Coronary artery disease; Data augmentation; Heart sound classification; Progressive Wasserstein generative adversarial network","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5VHXVREX","conferencePaper","2025","Li, Jinye; Men, Aidong; Liu, Yang; Han, Pengda; Chen, Qingchao","Radar2ECG: Multi-Scale Bottleneck Fusion and Cross-modal Semantic Distillation for Conditional Electrocardiogram Generation from Radar Heart Sound","ICASSP 2025 - 2025 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","","","10.1109/ICASSP49660.2025.10888884","https://ieeexplore.ieee.org/document/10888884","The field of conditional Electrocardiogram(ECG) generation focuses on generating specified ECGs under given conditions for medical purposes. Existing methods are typically based on conditions of simple inputs like text or lead types. However, they struggle to handle the complexity of radar heart sound signals due to the lack of effective feature extraction, which hinders capturing the intricate waveform correlations between radar heart sounds and ECGs. Considering that radar-detected heart sound signals are contactless, the application is of essential value in a real-world deployment like sleep scenarios. Moreover, no prior approaches have addressed this specific task. To tackle this challenge, we propose a novel multi-scale feature fusion network framework, Radar2ECG. This model leverages pre-trained autoencoders for heart sound and ECG signals, aligning and integrating multi-layer features through a bottleneck structure to enhance receptive fields and reduce redundant features, thereby capturing the correlations between heart sounds and ECGs. Finally, we employ knowledge distillation to transfer knowledge from the ECG decoder to the heart sound decoder. We present three anomaly type datasets and extensive experiments conducted on both normal and abnormal datasets demonstrate that our method outperforms existing models in both accuracy and robustness. The multi-scale feature fusion significantly improves performance, showcasing strong potential in ECG generation and heart sound anomaly detection tasks.","2025-04","2025-10-23 09:01:27","2025-10-23 09:01:27","2025-10-23 09:01:27","1-5","","","","","","Radar2ECG","","","","","","","","","","","","IEEE Xplore","","ISSN: 2379-190X","","C:\Users\alyssa\Zotero\storage\Z3WDBBEE\Li 等 - 2025 - Radar2ECG Multi-Scale Bottleneck Fusion and Cross-modal Semantic Distillation for Conditional Elect.pdf","","","Speech processing; Radar; Correlation; Electrocardiography; Feature extraction; Heart; Semantics; Anomaly detection; Autoencoders; Decoding; ECG synthesis; knowledge distillation; Radar-to-ECG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ICASSP 2025 - 2025 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","","","","","","","","","","","","","","",""
